,chunks
0,Student Code of Conduct Student Code of Conduct rrotoloni3 Wed  06 13 2012 - 22 49 Last Revised  February 2021 Review Date  March 2024 Policy Owner Student Life Contact Name John Stein Contact Title Associate Vice President for Student Life   Dean of Students Contact Email john.stein vpss.gatech.edu Policy Statement  The most current Student Code of Conduct  the  Code   can be found on the Policy Library web site as listed in the References. In the event of any conflict  the Code found in the Policy Library will govern.
1, Table of Contents A. General B. Definitions C. Prohibited Non-Academic Conduct D. Prohibited Academic Conduct E. Interim Measures F. Conduct Procedures G. Sanctions H. Appeal Procedures I. Record Keeping and Release of Information J. References A. GENERAL The Code educates all members of the Georgia Tech Community about the Institute s expectations and Students  rights and creates a standard by which Students are expected to conduct themselves for the purpose of establishing an environment conducive to academic excellence.
2, Georgia Tech Students  Registered Student Organizations  and Groups are responsible for their own behavior  and the Institute has the authority to establish an internal structure for the enforcement of its policies and procedures  the terms of which students have agreed to accept by their enrollment. 1. Authority a. The Code is not written with the specificity of a criminal statute and should not be confused with criminal law. Institute conduct proceedings are not restricted by the rules of evidence governing criminal and civil proceedings.
3, Students may be charged under multiple sections of the Student Code of Conduct  Non-Academic Misconduct  the Academic Misconduct  based upon the same conduct. Students may be held accountable both to civil or criminal authorities and the Institute for acts that constitute violations of law and the Policy. Proceedings under this Policy may be carried out prior to  simultaneously with  or following civil or criminal proceedings. Students who reside in Institute housing are subject to Housing policies and procedures in addition to this Code.
4, b. Sexual misconduct is not governed by this Code  but by the Sexual Misconduct Policy  including its procedures and sanctions. c. The Office of Student Integrity  OSI   in consultation with the Office of the General Counsel  shall develop consistent operating procedures for the administration of the Conduct Process and for the conduct of Student Conduct Panel hearings. d. Any question of the interpretation or application of the Code shall be referred to the Associate Vice President for Student Life   Dean of Students for final determination.
5, e. In any instance in which reference is made to an official of the Institute  such reference shall mean the official or the official s designee. 2. Jurisdiction a. The Institute shall take necessary and appropriate action to protect the safety and well-being of its community. Accordingly  student conduct should be addressed when such acts occur on Institute property  at Institute-sponsored or affiliated events  or otherwise violate the Institute s student conduct policies  regardless as to where such conduct occurs.
6, If the student has admitted responsibility and has voluntarily decided to participate in the informal process  the procedures outlined in this section will not apply. Academic misconduct relevant to any Institute activity will be addressed regardless of where it may have occurred. Non-academic misconduct will be addressed whenever such acts  1. occur on Institute Premises  2. occur at Institute-sponsored activities  3. occur at Student Group or Organization Activities  4. occur online or through an electronic medium  or 5.
7, occur off Institute Premises when conduct adversely affects the Institute and or the pursuit of its objectives. b. Each Student shall be responsible for their conduct under this Code from the time of application for admission through the actual awarding of a degree. This includes conduct that may occur before classes begin or after classes end during the academic year  as well as during time periods between terms of actual enrollment. The Code shall apply to a Student s conduct even if the Student withdraws from school while a disciplinary matter is pending.
8, The Code applies to Institute programs in virtually remote and overseas locations. c. The Institute shall retain the ability to adjudicate matters that occurred during a Student s enrollment at Georgia Tech. 3. Inappropriate Classroom Behavior The primary responsibility for managing the classroom environment rests with the instructor. Students who engage in any acts that result in disruption of a class may be directed by the instructor to leave the class for the remainder of the class period. Longer suspensions from a class can be administered only by the Associate Vice President for Student Life   Dean of Students in accordance with this Code.
9, 4. Registered Student Organization Discipline Registered Student Organizations are subject to this Code. Any Registered Student Organization accused of committing or attempting to commit one or more acts of misconduct is subject to the conduct procedures outlined in Section F. B. DEFINITIONS  Administrative Conference  refers to the meeting between the Respondent and the Student Conduct Administrator and or Investigator that can occur at the initiation of the Conduct Process. An Administrative Resolution may be offered to the Respondent during this conference.
10,  Administrative Resolution  refers to a decision by a Student Conduct Administrator that will result in the Respondent either being found responsible or not for the alleged violation.  Advisor  refers to an individual  chosen by the Respondent or the Complainant  where applicable   who assist a Respondent or the Complainant with the Conduct Process. The Respondent and the Complainant have the right to use an Advisor  who may or may not be an attorney  of their choosing  and at their own expense  for the express purpose of providing advice and counsel.
11, The Advisor may be present during meetings and proceedings of the investigatory and or resolution process at which the advisee is present. The Advisor may advise the advisee in any manner  including providing questions  suggestions  and guidance on responses to any questions asked of the advisee  but shall not participate directly during the investigation and or resolution process unless it is a Title IX proceeding.  Appellate Officer  means the person authorized by the Institute to consider an appeal of a disciplinary decision rendered by a Student Conduct Administrator  a Student Conduct Panel  or the Associate Vice President for Student Life   Dean of Students.
12,  Business Day  means any day in which the Institute is open for its full hours of operation  in accordance with the Institute s official calendars. All campuses will follow their respective calendars. When an authorized Institute Official closes the Institute  it will not be considered a Business Day.  Chair  means a member of a Student Conduct Panel who is identified by the Institute to oversee the proceedings during a hearing.  Complainant  means an individual who is alleged to be a victim of conduct that would violate any Board of Regents or other applicable Institute policy  including but not limited to  the Code.
13,  Community  includes any Student  Staff  Faculty Member  Institute Official  Affiliate  or any other person employed by the Institute. A person s status in a particular situation shall be determined by the Associate Vice President for Student Life   Dean of Students.  Conduct Process  refers to the process that begins upon receipt of complaint  to include  the Administrative Conference  the investigation of misconduct allegations  and all other meetings and proceedings of the investigatory and or resolution process.
14,  Faculty Member  means any person hired by the Institute to conduct classroom  teaching  or research activities or who is otherwise considered by the Institute to be a member of its Faculty.  Group  means persons who are associated with each other  but who have not complied with Institute requirements for chartering or annual registration as a Registered Student Organization.  Group or Organization Activity  means any activity on or off Institute Premises that is directly initiated for  or supervised by a Group or Registered Student Organization  including any individual activity occurring in buildings  facilities  grounds  utilities  or resources  including computer resources  owned  leased  operated  controlled  or supervised by a Group or Registered Student Organization.
15,  Information  means any Witness testimony  documents  statements  or tangible material presented to an Investigator  Student Conduct Administrator  or Student Conduct Panel.  Institute  and  Georgia Tech  each refer to the Georgia Institute of Technology  its respective campuses  and all of its undergraduate  graduate  and professional schools  divisions  and programs.  Institute Official  is defined as Faculty Members  administration  or staff  including students serving as Institute employees  who are acting on behalf of the Institute.
16,  Institute Premises  includes all land buildings  facilities  grounds  utilities  resources  and other property  including computer resources  in the possession of  or owned  operated  leased  controlled  or supervised by the Institute  including adjacent streets and sidewalks .  Investigator  means a person or entity charged with reviewing allegations of misconduct.  May  is used in the permissive sense.  Office of Student Integrity  or  OSI  means the office designated by the Institute to oversee the Code.
17,  Policy  or  Policies  means any written rule or regulation of the Institute  the Board of Regents of the University System of Georgia.  Preponderance of the Evidence  is the standard of review used in determining responsibility and means whether a Respondent is more likely than not to be in violation of the Code.  President  means the Institute s President or their designee.  Registered Student Organization  or  RSO  means persons who have complied with or are in the process of complying with  the Institute requirements for chartering or annual registration requirements pursuant to the Registered Student Organizations Policy.
18,  Respondent  means a Student  Group  or RSO who is alleged to be in violation of the Code. The individual designated as the highest-ranking member of the Group or RSO shall represent the Group or RSO as the Respondent.  Sanction  and  Supplementary Requirements  means the conditions imposed upon a Respondent found responsible for a violation of the Code.  Student  means any person who is taking or auditing classes of the Institute  either full-time or part-time  is participating in academic programs  or is pursuing undergraduate  graduate  or professional studies.
19, A Student is also any person who matriculates in any Institute program  has been accepted for enrollment  or is eligible to re-enroll without applying for readmission.  Student Conduct Administrator  means an Institute Official as authorized by the Associate Vice President for Student Life   Dean of Students to lead the Administrative Conference  recommend violations based on an investigation of alleged misconduct  or impose Sanctions upon any Student s  found to have violated the Code.  Student Conduct Panel  means a set of persons authorized by the Institute to determine whether the Respondent has violated the Code.
20, In non-academic cases  the Panel recommends a decision and Sanctions  if applicable  to the Director of Student Integrity.  System Director  refers the University System of Georgia s System Director of Equity   Investigations.  Substantial Evidence  means evidence a reasonable mind might accept as adequate to support a conclusion.  Weapon  means any object or substance designed  intended  or used to inflict or threaten bodily injury.  Will  and  shall  are used in the imperative sense.  Witness  is defined as a person providing information during the Conduct Process.
